2023年3月29日14:35:28 github仓库中,新建海尔项目包,新建开发日志文件
2023年3月29日14:38:31 拉取最新master分支的内容
2023年3月29日15:55:41 连上1001的wifi获取验证码消息,拿到header
2023年3月29日16:33:36 相关性分析文件很有问题
2023年3月29日16:53:41 使用数据库客户端连接mangodb
2023年3月29日17:27:16 selenium出现了多次滑块的问题,暂时搁置,由人来登录
2023年3月29日17:49:10 询问gpt常用的wait方法
2023年3月30日10:43:36 了解mongodb的嵌入文档查询方法
2023年3月31日10:45:25 构建重合浏览人群的模板
2023年3月31日11:24:40 所有的都是一致的类目,一次构建,3次使用
2023年3月31日11:57:37 收集品牌映射关系,更改现有存储格式
2023年3月31日14:44:24 用到的品牌数量只有很小一部分
2023年3月31日15:12:12 对以往的卡片拼接类做测试
2023年4月3日11:35:37 购买卡片的参数和浏览不一样
2023年4月3日16:05:21 测试mongodb的find_one方法
2023年4月4日16:26:58 提取书童数据的环节基本完成,暂不做数据处理,准备切入数据工厂
2023年4月4日16:33:00 毕竟工时的安排是整体的,所有的需求也都要考虑到
2023年4月4日17:41:38 网页端登录生意参谋
2023年4月6日11:07:09 梳理数据工厂olap计算的场景,维度,指标
2023年4月6日15:26:23 数据工厂的IDE中查找功能有大问题!
2023年4月6日15:41:04 本地搞不到datafactory的发行版,应该只是内部发行
2023年4月6日16:15:34 明确参考的olap计算和结果
2023年4月10日14:08:18 开始做数据银行的需求,从p2实时计算开始
2023年4月10日14:58:38 原策略中心登录方法中增加数据银行分支
2023年4月10日15:10:37 子账号被停用,从p5的行为卡片开始
2023年4月10日15:22:05 需要先准备参数的映射
2023年4月10日16:00:23 不能直接用策略中心的构造圈包类,有变量映射的依赖
2023年4月10日16:46:38 先不把数据银行和策略中心的卡片模板统一起来,需要等分布构建完后检查相似性再决定
2023年4月11日09:31:51 海尔的账号可以登录了
2023年4月11日14:17:53 数据银行的模板也基本完成,开始做书童数据抽取和校验
2023年4月11日15:55:14 往书童抽取类中增加"自定义画像"部分
2023年4月12日13:32:24 大部分参数用排列组合生成出来,额外的部分人工剔除
2023年4月12日14:14:38 竞品的有30多种,还需要继续补
2023年4月13日09:48:22 校验是否都授权了
2023年4月23日11:22:18 忙的没有时间写开发节点
2023年5月19日10:18:43 本地的cookie可以用至少两个星期,期间不用开更多的浏览器
2023年5月22日11:21:15 进行加入百雀羚开发
2023年5月22日11:21:34 从速度快慢来说,1~2个零碎的需求准备比较固定的json是最优的
2023年5月22日11:25:35 但麻烦便是因为不同人会对模板置空程度设定的不同产生很多的冗余,主流程非常不好调用和维护
2023年5月22日11:33:31 除非知道项目整体的的需求复杂度和能明确描述出需求间的差异,也就是做需求分析,目前是百雀羚是没有的
2023年5月22日11:34:40 所以只能是靠个人理解来做,现在是开不同于海尔的第二种方法,也就是偏向运行时的内存计算
2023年5月22日11:38:01 主流程只关心组合循环的稳定问题和必要信息的记录
2023年5月22日15:51:28 现有的数银卡片拼接类默认要时间,有点问题
2023年5月22日17:13:22 所有映射在本地要存档,否则卡片类和交互类耦合
2023年5月23日11:52:46 为某些待定方法增加废弃装饰器
2023年5月24日15:51:31 p19完成1/3逻辑并圈包
2023年5月25日11:24:36 策略中心应该可以沿用海尔的卡片拼接工具,只有人群行为
2023年5月25日11:26:59 但是要为类目的准备的变化做调整
